match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T204029,SRH Vs PK,SRH,WashingtonSundar,2,0,19,1,9.5,4,2,1,0,0
T204029,SRH Vs PK,SRH,FazalhaqFarooqi,4,0,32,2,8,7,4,0,1,0
T204029,SRH Vs PK,SRH,JagadeeshaSuchith,4,0,38,1,9.5,9,2,3,2,0
T204029,SRH Vs PK,SRH,UmranMalik,2.1,0,24,1,11.07,5,2,2,0,0
T204029,SRH Vs PK,SRH,RomarioShepherd,1,0,23,0,23,1,2,2,1,0
T205729,DC Vs MI,MI,DanielSams,4,0,30,1,7.5,10,1,2,1,0
T205729,DC Vs MI,MI,HrithikShokeen,4,0,34,0,8.5,11,3,2,2,0
T205729,DC Vs MI,MI,JaspritBumrah,4,0,25,3,6.25,11,0,2,0,0
T205729,DC Vs MI,MI,MayankMarkande,4,0,26,1,6.5,9,1,1,0,0
T205729,DC Vs MI,MI,RileyMeredith,2,0,9,0,4.5,7,1,0,1,0
T205729,DC Vs MI,MI,RamandeepSingh,2,0,29,2,14.5,4,2,2,4,0
T205729,DC Vs MI,DC,KhaleelAhmed,3.1,0,24,0,7.57,11,3,1,1,1
T205729,DC Vs MI,DC,AnrichNortje,4,0,37,2,9.25,11,4,2,0,0
T205729,DC Vs MI,DC,ShardulThakur,3,0,32,2,10.66,8,0,4,2,0
T205729,DC Vs MI,DC,MitchellMarsh,2,0,7,0,3.5,8,1,0,0,0
T205729,DC Vs MI,DC,KuldeepYadav,4,0,33,1,8.25,9,1,3,0,0
T205729,DC Vs MI,DC,AxarPatel,3,0,26,0,8.66,3,0,2,0,0
T203588,CSK Vs RR,RR,TrentBoult,4,0,44,1,11,10,6,2,0,0
T203588,CSK Vs RR,RR,PrasidhKrishna,4,0,32,0,8,12,3,2,0,0
T203588,CSK Vs RR,RR,RavichandranAshwin,4,0,28,1,7,9,2,1,2,0
T203588,CSK Vs RR,RR,YuzvendraChahal,4,0,26,2,6.5,9,3,0,1,0
T203588,CSK Vs RR,RR,ObedMcCoy,4,0,20,2,5,11,1,0,2,0
T203588,CSK Vs RR,CSK,MukeshChoudhary,4,0,41,0,10.25,8,6,1,0,0
T203588,CSK Vs RR,CSK,SimarjeetSingh,3,0,18,1,6,10,3,0,0,0
T203588,CSK Vs RR,CSK,MitchellSantner,3,0,15,1,5,7,1,0,0,0
T203588,CSK Vs RR,CSK,MatheeshaPathirana,3.4,0,28,0,7.63,12,3,0,4,0
T203588,CSK Vs RR,CSK,MoeenAli,4,0,21,1,5.25,8,0,1,0,0
T203588,CSK Vs RR,CSK,PrashantSolanki,2,0,20,2,10,6,1,2,0,0
T201867,GT Vs RCB,RCB,SiddarthKaul,4,0,43,0,10.75,6,5,2,0,0
T201867,GT Vs RCB,RCB,ShahbazAhmed,2,0,15,0,7.5,5,1,1,0,0
T201867,GT Vs RCB,RCB,JoshHazlewood,4,0,39,2,9.75,10,3,3,0,0
T201867,GT Vs RCB,RCB,GlennMaxwell,4,1,28,1,7,14,0,3,1,0
T201867,GT Vs RCB,RCB,MahipalLomror,1,0,11,0,11,1,0,1,0,0
T201867,GT Vs RCB,RCB,WaninduHasaranga,4,0,25,1,6.25,7,2,0,1,0
T201867,GT Vs RCB,RCB,HarshalPatel,1,0,6,0,6,3,0,0,0,0
T201867,GT Vs RCB,GT,MohammedShami,2,0,23,0,11.5,6,4,0,1,0
T201867,GT Vs RCB,GT,HardikPandya,3,0,35,0,11.66,6,4,2,1,0
T201867,GT Vs RCB,GT,RashidKhan,4,0,32,2,8,6,1,2,0,0
T201867,GT Vs RCB,GT,YashDayal,4,0,35,0,8.75,6,5,0,1,0
T201867,GT Vs RCB,GT,SaiKishore,4,0,20,0,5,7,0,0,0,0
T201867,GT Vs RCB,GT,LockieFerguson,1.4,0,21,0,12.6,2,4,0,0,0
T202863,LSG Vs KKR,KKR,UmeshYadav,4,0,34,0,8.5,7,2,2,0,0
T202863,LSG Vs KKR,KKR,TimSouthee,4,0,57,0,14.25,5,2,6,1,0
T202863,LSG Vs KKR,KKR,SunilNarine,4,0,27,0,6.75,8,0,2,0,0
T202863,LSG Vs KKR,KKR,VarunChakravarthy,4,0,38,0,9.5,9,3,2,0,1
T202863,LSG Vs KKR,KKR,AndreRussell,3,0,45,0,15,1,5,2,0,0
T202863,LSG Vs KKR,KKR,NitishRana,1,0,9,0,9,0,1,0,0,0
T202863,LSG Vs KKR,LSG,MohsinKhan,4,0,20,3,5,16,2,1,1,0
T202863,LSG Vs KKR,LSG,JasonHolder,4,0,45,0,11.25,10,3,4,2,0
T202863,LSG Vs KKR,LSG,AveshKhan,4,0,60,0,15,6,7,3,3,1
T202863,LSG Vs KKR,LSG,KrishnappaGowtham,2,0,23,1,11.5,4,3,1,0,0
T202863,LSG Vs KKR,LSG,RaviBishnoi,4,0,34,1,8.5,6,2,2,0,0
T202863,LSG Vs KKR,LSG,MarcusStoinis,2,0,23,3,11.5,4,1,2,0,0
T206060,SRH Vs MI,MI,DanielSams,4,0,39,1,9.75,8,4,2,0,0
T206060,SRH Vs MI,MI,RileyMeredith,4,0,44,1,11,6,1,3,2,0
T206060,SRH Vs MI,MI,SanjayYadav,2,0,23,0,11.5,6,3,1,2,0
T206060,SRH Vs MI,MI,JaspritBumrah,4,0,32,1,8,11,4,1,0,0
T206060,SRH Vs MI,MI,MayankMarkande,3,0,31,0,10.33,2,3,1,0,0
T206060,SRH Vs MI,MI,RamandeepSingh,3,0,20,3,6.66,5,2,0,1,0
T206060,SRH Vs MI,SRH,FazalhaqFarooqi,4,0,31,0,7.75,11,2,1,3,0
T206060,SRH Vs MI,SRH,BhuvneshwarKumar,4,1,26,1,6.5,12,1,2,0,0
T206060,SRH Vs MI,SRH,WashingtonSundar,4,0,36,1,9,4,3,1,0,0
