team1,team2,winner,margin,won_by,year,match_id
SRH,PK,PK,5,wicket,2022,T204029
DC,MI,MI,5,wicket,2022,T205729
CSK,RR,RR,5,wicket,2022,T203588
GT,RCB,RCB,8,wicket,2022,T201867
LSG,KKR,LSG,2,run,2022,T202863
SRH,MI,SRH,3,run,2022,T206060
DC,PK,DC,17,run,2022,T209295
RR,LSG,RR,24,run,2022,T204939
CSK,GT,GT,7,wicket,2022,T204140
KKR,SRH,KKR,54,run,2022,T209676
PK,RCB,PK,54,run,2022,T203332
CSK,MI,MI,5,wicket,2022,T203878
RR,DC,DC,8,wicket,2022,T201826
GT,LSG,GT,62,run,2022,T207400
KKR,MI,KKR,52,run,2022,T203087
CSK,DC,CSK,91,run,2022,T205352
RCB,SRH,RCB,67,run,2022,T207464
LSG,KKR,LSG,75,run,2022,T204710
PK,RR,RR,6,wicket,2022,T201231
MI,GT,MI,5,run,2022,T201720
DC,SRH,DC,21,run,2022,T201248
RCB,CSK,RCB,13,run,2022,T207511
GT,PK,PK,8,wicket,2022,T209502
RR,KKR,KKR,7,wicket,2022,T201137
CSK,SRH,CSK,13,run,2022,T206274
LSG,DC,LSG,6,run,2022,T208561
RR,MI,MI,5,wicket,2022,T204259
RCB,GT,GT,6,wicket,2022,T208841
LSG,PK,LSG,20,run,2022,T207116
KKR,DC,DC,4,wicket,2022,T209582
SRH,GT,GT,5,wicket,2022,T209115
RR,RCB,RR,29,run,2022,T205212
PK,CSK,PK,11,run,2022,T207611
LSG,MI,LSG,36,run,2022,T208801
RCB,SRH,SRH,9,wicket,2022,T208774
GT,KKR,GT,8,run,2022,T208514
RR,DC,RR,15,run,2022,T206421
MI,CSK,CSK,3,wicket,2022,T202326
PK,DC,DC,9,wicket,2022,T203741
RCB,LSG,RCB,18,run,2022,T204535
RR,KKR,RR,7,run,2022,T206892
CSK,GT,GT,3,wicket,2022,T206030
PK,SRH,SRH,7,wicket,2022,T208958
RCB,DC,RCB,16,run,2022,T205793
LSG,MI,LSG,18,run,2022,T204555
